id;name;location;creation_date;status
1;suivant;relire soumettre;2026-07-16T15:52:50;ACTIVE
2;fade drelin biathlète;tant que retrouver;2026-07-16T20:17:38;BLOCKED
3;broum conseil municipal à travers;avant que;2026-07-15T22:56:04;BLOCKED
4;d’autant que très de crainte que;cot cot même si jusque;2026-07-16T08:24:40;BLOCKED
5;innombrable déjà spécialiste;conseil d’administration;2026-07-16T02:00:16;ACTIVE
6;actionnaire lors de hebdomadaire;porte-parole gigantesque énorme;2026-07-16T19:36:53;BLOCKED
7;en face de main-d’œuvre;hi;2026-07-16T07:47:55;ACTIVE
8;quant à avant que pleurer;délectable;2026-07-16T02:46:23;BLOCKED
9;cependant;alentour;2026-07-16T14:53:04;ACTIVE
10;à l'insu de aux environs de soudain;à travers ainsi;2026-07-16T13:56:37;ACTIVE
11;que spécialiste plic;rudement;2026-07-16T11:56:08;ACTIVE
12;bang alentour;à peine;2026-07-16T07:36:33;BLOCKED
13;membre de l’équipe personnel professionnel;trop peu;2026-07-16T06:48:10;BLOCKED
14;traduire proche de alors;ouille ha;2026-07-16T01:12:16;ACTIVE
15;avant-hier;dessous;2026-07-16T21:23:53;BLOCKED
16;triste;fonctionnaire ainsi;2026-07-16T05:42:27;BLOCKED
17;au point que direction;vis-à-vie de à condition que;2026-07-15T23:58:31;BLOCKED
18;apparemment;hors;2026-07-16T15:46:33;BLOCKED
19;mélanger administration;tellement créer;2026-07-16T01:42:10;ACTIVE
20;tant que;près vorace même;2026-07-15T22:36:01;ACTIVE
21;à travers de façon que fermer;auparavant aux alentours de secours;2026-07-16T04:35:18;BLOCKED
22;si à travers;même si parce que par;2026-07-16T02:03:40;ACTIVE
23;au-delà aux alentours de;même aïe appliquer;2026-07-16T08:11:07;BLOCKED
24;hier de façon à;meuh quand ? euh;2026-07-16T07:29:22;BLOCKED
25;zzzz auprès de tant;augmenter;2026-07-16T01:00:17;ACTIVE
26;aussi coac coac tandis que;aboutir;2026-07-16T15:08:39;ACTIVE
27;diplomate lâche;bè spécialiste grrr;2026-07-16T17:25:14;BLOCKED
28;confirmer;au-devant croâ;2026-07-16T11:28:18;BLOCKED
29;svelte;bang;2026-07-16T05:31:19;BLOCKED
30;reculer sans que;après que tic-tac;2026-07-16T04:04:06;BLOCKED
